recency,frequency,monetary,average_purchase_value,quantity_per_order,active_months,purchase_frequency,customer_loyalty_score,high_value_customer_flag,customer_tenure,avg_days_between_purchases,weekend_sales_ratio,customer_rank_by_revenue,churn_warning_flag
58,2,767.98,383.99,204.0,2,1.0,4.82,0,170,170.0,0.0,1994,0
17,10,5167.44,516.7439999999999,219.9,5,2.0,9.55,1,298,33.111111111111114,0.0,250,0
318,1,0.0,0.0,-1.0,1,1.0,1.0,0,318,318.0,0.0,4312,0
15,2,1923.4,961.7,305.5,1,2.0,6.85,0,15,15.0,0.0,933,0
2,1,258.90000000000003,258.90000000000003,214.0,1,1.0,3.92,0,2,2.0,0.0,3374,0
51,1,143.94,143.94,134.0,1,1.0,1.9,0,51,51.0,0.0,3881,0
81,2,1120.45,560.225,269.5,2,1.0,5.5,0,218,218.0,0.0,1549,0
38,3,1433.33,477.7766666666666,204.66666666666663,3,1.0,6.62,0,291,145.5,0.0,1237,0
100,6,2259.58,376.5966666666666,150.5,4,1.5,7.98,0,298,59.6,0.0,774,0
227,1,234.75,234.75,73.0,1,1.0,2.12,0,227,227.0,0.0,3469,0
18,3,794.15,264.71666666666664,163.0,2,1.5,5.95,0,64,32.0,0.0,1950,0
7,4,2048.64,512.16,403.75,4,1.0,8.65,0,238,79.33333333333333,0.0,875,0
310,1,931.43,931.43,591.0,1,1.0,3.25,0,310,310.0,0.0,1758,0
21,3,853.65,284.55,340.0,3,1.0,5.95,0,280,140.0,0.0,1868,0
50,1,205.25,205.25,91.0,1,1.0,1.9,0,50,50.0,0.0,3615,0
28,6,1018.55,169.75833333333333,81.5,5,1.2,7.75,0,306,61.2,0.4961464827450788,1643,0
157,1,591.6600000000001,591.6600000000001,164.0,1,1.0,3.7,0,157,157.0,0.0,2341,0
318,1,63.24,63.24,1.0,1,1.0,1.0,0,318,318.0,0.0,4188,0
24,4,2791.46,697.865,393.5,3,1.3333333333333333,8.2,0,333,111.0,0.0,586,0
15,5,1437.07,287.414,157.4,3,1.6666666666666667,8.2,0,134,33.5,0.0,1233,0
56,6,12033.54,2005.59,1247.3333333333333,4,1.5,8.43,1,201,40.2,0.565293338452359,77,0
138,1,320.38,320.38,130.0,1,1.0,2.58,0,138,138.0,1.0,3114,0
45,1,346.9,346.9,138.0,1,1.0,3.03,0,45,45.0,0.0,2992,0
38,5,1354.15,270.83000000000004,232.4,3,1.6666666666666667,7.3,0,175,43.75,0.0,1305,0
38,1,241.35,241.35,33.0,1,1.0,3.03,0,38,38.0,0.0,3441,0
99,5,130.0,26.0,0.2,1,5.0,3.48,0,99,24.75,0.0,3951,1
11,7,19543.84,2791.977142857143,2010.428571428572,4,1.75,9.33,1,163,27.166666666666668,0.0,44,0
292,1,202.56,202.56,132.0,1,1.0,1.0,0,292,292.0,1.0,3631,0
37,15,3109.91,207.3273333333333,88.06666666666666,9,1.6666666666666667,9.1,0,369,26.357142857142858,0.0993919438183098,514,0
49,4,1348.37,337.0925,170.0,4,1.0,6.62,0,266,88.66666666666667,0.0,1310,0
21,2,503.01,251.505,115.5,2,1.0,5.28,0,49,49.0,0.0,2545,0
51,3,286.56,95.52,54.66666666666666,2,1.5,4.38,0,141,70.5,0.0,3270,0
30,18,3315.79,184.2105555555556,123.38888888888889,8,2.25,9.55,0,357,21.0,0.2690912271283766,475,0
23,2,763.08,381.54,227.0,2,1.0,5.28,0,101,101.0,0.0,2004,0
58,5,1528.82,305.764,255.0,3,1.6666666666666667,7.3,0,368,92.0,0.0,1166,0
66,2,903.61,451.805,303.5,2,1.0,4.82,0,84,84.0,0.0,1792,0
282,2,728.68,364.34,159.5,2,1.0,3.92,0,298,298.0,0.0,2064,0
7,1,303.5,303.5,79.0,1,1.0,3.92,0,7,7.0,0.0,3205,0
1,6,3685.11,614.1850000000001,277.8333333333333,4,1.5,9.33,1,182,36.4,0.0,420,0
9,16,4303.02,268.93875,112.0625,10,1.6,10.0,1,329,21.933333333333334,0.0,321,0
2,6,7052.99,1175.4983333333332,1007.3333333333334,4,1.5,9.33,1,112,22.4,0.0,170,0
17,1,297.29,297.29,138.0,1,1.0,3.48,0,17,17.0,0.0,3230,0
32,4,6096.04,1524.01,725.75,4,1.0,8.2,1,373,124.33333333333331,0.0,205,0
29,28,7498.19,267.7925,179.03571428571428,10,2.8,9.55,1,373,13.814814814814817,0.0662386522614124,148,0
318,3,1089.18,363.06,149.33333333333334,2,1.5,5.72,0,361,180.5,0.0,1577,1
93,3,768.15,256.05,102.66666666666669,2,1.5,5.05,0,353,176.5,0.0,1993,0
2,1,173.55,173.55,121.0,1,1.0,2.8,0,2,2.0,0.0,3746,0
368,1,485.31,485.31,182.0,1,1.0,3.25,0,368,368.0,0.0,2592,0
36,2,293.08,146.54,71.0,2,1.0,3.7,0,56,56.0,0.0,3253,0
46,2,768.6,384.3,364.5,2,1.0,4.82,0,74,74.0,0.0,1991,0
35,5,469.07,93.814,61.4,3,1.6666666666666667,5.5,0,110,27.5,0.3164133285010766,2628,0
99,4,3613.01,903.2525,692.75,3,1.3333333333333333,7.3,1,165,55.0,0.0,426,1
31,7,4292.71,613.2442857142858,318.85714285714283,3,2.333333333333333,8.88,1,318,53.0,0.0,323,0
81,4,3413.09,853.2725,303.25,4,1.0,7.3,0,357,119.0,0.0,457,0
53,2,554.53,277.265,121.5,2,1.0,4.82,0,71,71.0,0.0,2411,0
63,2,830.09,415.045,240.0,2,1.0,4.82,0,123,123.0,0.0,1904,0
241,1,454.36,454.36,258.0,1,1.0,2.12,0,241,241.0,0.0,2667,0
92,1,326.65,326.65,170.0,1,1.0,2.58,0,92,92.0,0.0,3079,0
318,1,56.73,56.73,1.0,1,1.0,1.0,0,318,318.0,0.0,4205,0
22,2,0.0,0.0,0.0,2,1.0,3.02,0,59,59.0,0.0,4277,0
66,7,2900.51,414.3585714285714,260.0,4,1.75,8.43,0,325,54.16666666666666,0.0,563,0
158,2,3070.54,1535.27,1276.0,2,1.0,6.62,0,172,172.0,0.0,521,0
325,1,211.95,211.95,95.0,1,1.0,1.0,0,325,325.0,0.0,3579,0
8,81,19197.49,237.006049382716,104.5925925925926,13,6.230769230769231,10.0,1,373,4.6625,0.051821878797697,45,0
5,26,10727.21,412.585,265.0,12,2.1666666666666665,10.0,1,366,14.64,0.1520712282131141,96,0
4,25,4849.98,193.9992,121.32,10,2.5,10.0,1,302,12.583333333333334,0.1490274186697677,277,0
45,1,426.26,426.26,236.0,1,1.0,3.03,0,45,45.0,0.0,2753,0
10,18,7137.54,396.53,177.66666666666666,4,4.5,10.0,1,137,8.058823529411764,0.1333540687687915,166,0
35,3,7056.63,2352.21,822.0,3,1.0,8.2,1,259,129.5,0.0,169,0
35,4,2153.47,538.3675,310.0,3,1.3333333333333333,8.2,0,143,47.66666666666666,0.0,826,0
1,8,6626.17,828.27125,478.125,6,1.3333333333333333,10.0,1,243,34.714285714285715,0.5747603819400952,187,0
85,32,21893.53,684.1728125,844.96875,4,8.0,8.65,1,289,9.32258064516129,0.2655853121904051,36,1
14,14,2496.34,178.31,74.0,8,1.75,10.0,0,313,24.07692307692308,0.1048334762091702,683,0
113,8,1806.93,225.86625,134.25,5,1.6,7.52,0,372,53.142857142857146,0.0249041191413059,989,1
165,1,708.1,708.1,414.0,1,1.0,3.7,0,165,165.0,0.0,2104,0
67,1,1037.28,1037.28,523.0,1,1.0,5.28,0,67,67.0,0.0,1625,0
366,2,259.8,129.9,72.0,1,2.0,2.8,0,366,366.0,0.0,3368,0
14,12,4400.71,366.72583333333336,236.5,9,1.3333333333333333,10.0,1,374,34.0,0.1577290937144233,313,0
39,1,452.0,452.0,252.0,1,1.0,3.03,0,39,39.0,0.0,2673,0
1,5,604.17,120.834,54.2,4,1.25,7.08,0,212,53.0,0.3712531241206945,2305,0
270,2,323.4,161.7,63.0,1,2.0,2.8,0,276,276.0,0.0,3091,0
256,2,45.34,22.67,15.0,1,2.0,1.68,0,256,256.0,0.0,4222,0
36,3,5168.65,1722.8833333333332,1482.6666666666667,3,1.0,7.75,1,318,159.0,0.0,249,0
196,1,393.72,393.72,302.0,1,1.0,2.12,0,196,196.0,0.0,2852,0
71,12,1666.04,138.83666666666667,57.41666666666666,5,2.4,7.52,0,309,28.09090909090909,0.2746332621065521,1077,1
220,1,1126.0,1126.0,561.0,1,1.0,4.38,0,220,220.0,0.0,1541,0
53,2,297.0,148.5,184.0,2,1.0,3.7,0,232,232.0,0.0,3232,0
29,2,912.5,456.25,157.0,2,1.0,5.28,0,44,44.0,0.0,1781,0
220,1,539.25,539.25,362.0,1,1.0,3.25,0,220,220.0,0.0,2451,0
95,14,2706.76,193.34,118.92857142857144,5,2.8,8.65,0,371,28.53846153846154,0.0,618,1
50,2,3065.77,1532.885,874.0,1,2.0,7.08,0,64,64.0,0.0,523,0
277,1,580.08,580.08,400.0,1,1.0,3.25,0,277,277.0,0.0,2364,0
66,2,1336.56,668.28,538.5,2,1.0,5.95,0,235,235.0,0.0,1321,0
100,2,354.35,177.175,102.5,2,1.0,3.25,0,112,112.0,0.0,2968,0
10,17,2455.48,144.44,80.88235294117646,9,1.8888888888888888,10.0,0,373,23.3125,0.0538713408376366,705,0
24,10,6605.64,660.5640000000001,347.4,6,1.6666666666666667,9.55,1,305,33.888888888888886,0.0,189,0
127,8,835.18,104.3975,60.875,5,1.6,6.4,0,371,53.0,0.0,1894,1
130,2,386.8,193.4,146.0,2,1.0,3.25,0,165,165.0,0.0,2869,0
158,2,311.78,155.89,95.0,2,1.0,3.25,0,164,164.0,0.0,3149,0
45,7,2066.23,295.17571428571426,256.85714285714283,5,1.4,8.43,0,278,46.333333333333336,0.1727784418965942,870,0
316,2,1773.83,886.915,529.5,1,2.0,5.05,0,322,322.0,0.0,1002,0
254,6,1149.99,191.665,94.66666666666669,3,2.0,6.4,0,374,74.8,0.0,1513,1
44,1,732.9399999999999,732.9399999999999,449.0,1,1.0,4.15,0,44,44.0,0.0,2053,0
14,1,276.5,276.5,145.0,1,1.0,3.92,0,14,14.0,0.0,3310,0
86,3,5646.4,1882.1333333333328,822.6666666666666,2,1.5,7.3,1,352,176.0,0.0,230,0
14,17,8798.25,517.5441176470588,254.8235294117647,11,1.5454545454545454,10.0,1,368,23.0,0.0864080925183985,122,0
120,4,423.38,105.845,128.5,3,1.3333333333333333,3.92,0,276,92.0,0.0,2763,0
84,1,980.25,980.25,688.0,1,1.0,4.82,0,84,84.0,0.0,1691,0
136,1,175.78,175.78,175.0,1,1.0,1.45,0,136,136.0,0.0,3736,0
211,6,1575.6799999999998,262.6133333333333,227.66666666666663,2,3.0,6.4,0,333,66.6,0.0,1126,1
21,3,896.5699999999999,298.8566666666666,119.33333333333331,2,1.5,5.95,0,59,29.5,0.0,1805,0
84,1,468.5,468.5,240.0,1,1.0,2.58,0,84,84.0,0.0,2631,0
318,1,129.23,129.23,1.0,1,1.0,1.0,0,318,318.0,0.0,3958,0
7,4,6725.18,1681.295,599.5,4,1.0,8.65,1,358,119.33333333333331,0.3634073734829402,183,0
21,2,1185.18,592.59,274.0,2,1.0,6.4,0,71,71.0,0.0,1481,0
44,1,249.24,249.24,113.0,1,1.0,3.03,0,44,44.0,0.0,3411,0
3,8,4278.88,534.86,221.875,6,1.3333333333333333,10.0,1,302,43.142857142857146,0.3568503907564596,327,0
280,1,70.0,70.0,48.0,1,1.0,1.0,0,280,280.0,0.0,4178,0
318,1,77.52,77.52,1.0,1,1.0,1.0,0,318,318.0,0.0,4159,0
17,4,556.87,139.2175,98.75,3,1.3333333333333333,5.95,0,101,33.666666666666664,0.2264621904573778,2406,0
93,2,622.82,311.41,157.5,2,1.0,4.38,0,162,162.0,0.0,2258,0
28,5,776.89,155.378,103.0,3,1.6666666666666667,6.62,0,162,40.5,0.0,1974,0
17,5,990.5,198.1,144.4,3,1.6666666666666667,7.75,0,372,93.0,0.0,1682,0
21,3,1819.09,606.3633333333333,387.6666666666667,3,1.0,7.08,0,79,39.5,0.0,984,0
212,1,637.2,637.2,331.0,1,1.0,3.25,0,212,212.0,0.0,2227,0
58,2,1469.04,734.52,342.5,2,1.0,5.95,0,213,213.0,0.0,1205,0
9,14,7157.56,511.2542857142857,280.2142857142857,11,1.2727272727272727,10.0,1,369,28.384615384615383,0.2396487071013026,163,0
4,4,1848.73,462.1825,151.5,4,1.0,7.52,0,359,119.66666666666669,0.0,969,0
35,4,724.0799999999999,181.02,95.25,3,1.3333333333333333,5.95,0,233,77.66666666666667,0.0,2074,0
50,9,2447.49,271.9433333333333,118.11111111111111,3,3.0,9.1,0,325,40.625,0.0,709,0
137,2,0.0,0.0,-1.0,2,1.0,2.12,0,242,242.0,0.0,4298,0
26,2,886.1,443.05,212.5,2,1.0,5.28,0,44,44.0,0.2270059812662227,1824,0
155,6,715.02,119.17,263.6666666666667,1,6.0,5.72,0,155,31.0,0.0,2092,1
14,6,1724.29,287.38166666666666,161.16666666666666,5,1.2,8.2,0,282,56.4,0.0,1036,0
140,1,299.02,299.02,271.0,1,1.0,2.58,0,140,140.0,0.0,3224,0
71,6,1411.99,235.33166666666668,150.0,2,3.0,6.85,0,284,56.8,0.0,1251,0
17,6,1264.14,210.69000000000003,205.5,5,1.2,7.75,0,213,42.6,0.1651715790972518,1397,0
7,16,2374.75,148.421875,39.5,9,1.7777777777777777,10.0,0,368,24.53333333333333,0.1629645225813243,732,0
40,1,104.2,104.2,45.0,1,1.0,1.9,0,40,40.0,1.0,4079,0
1,5,1225.45,245.09,185.0,4,1.25,8.2,0,94,23.5,0.3590844179689094,1441,0
318,1,21.0,21.0,1.0,1,1.0,1.0,0,318,318.0,0.0,4266,0
40,1,415.79,415.79,323.0,1,1.0,3.03,0,40,40.0,1.0,2790,0
10,7,2291.01,327.28714285714284,129.14285714285714,6,1.1666666666666667,9.33,0,355,59.16666666666666,0.1443031675985701,757,0
24,7,3354.84,479.2628571428572,348.7142857142857,6,1.1666666666666667,8.88,0,361,60.16666666666666,0.0,468,0
49,7,3273.69,467.67,274.1428571428572,5,1.4,8.43,0,374,62.333333333333336,0.0,483,0
18,2,388.1,194.05,104.0,1,2.0,4.15,0,24,24.0,0.0,2868,0
196,1,140.14,140.14,140.0,1,1.0,1.0,0,196,196.0,0.0,3902,0
1,22,10967.24,498.5109090909091,294.1363636363636,10,2.2,10.0,1,304,14.476190476190476,0.2306687917835299,92,0
52,8,3334.74,416.8425,221.75,6,1.3333333333333333,9.1,0,332,47.42857142857143,0.1143117604370955,473,0
145,2,2481.06,1240.53,848.5,2,1.0,6.62,0,232,232.0,0.6091630190321878,691,0
21,2,1558.22,779.11,361.0,2,1.0,6.4,0,59,59.0,0.0,1135,0
67,6,2811.77,468.6283333333333,226.16666666666663,5,1.2,8.43,0,329,65.8,0.1899657511105104,583,0
156,4,738.88,184.72,167.0,2,2.0,5.05,0,200,66.66666666666667,0.0,2046,1
18,5,3454.58,690.9159999999999,411.6,3,1.6666666666666667,8.88,0,161,40.25,0.0,453,0
171,2,490.0,245.0,168.5,1,2.0,4.38,0,184,184.0,0.0,2579,0
28,2,1241.23,620.615,388.5,2,1.0,6.4,0,92,92.0,0.0,1424,0
374,1,141.0,141.0,1.0,1,1.0,1.0,0,374,374.0,0.0,3897,0
14,4,2280.91,570.2275,315.75,3,1.3333333333333333,8.65,0,179,59.66666666666666,0.0,763,0
275,1,249.8,249.8,86.0,1,1.0,2.12,0,275,275.0,0.0,3408,0
70,2,826.27,413.135,215.0,2,1.0,4.82,0,263,263.0,0.0,1912,0
21,8,4490.66,561.3325,318.625,6,1.3333333333333333,9.55,1,247,35.285714285714285,0.0,305,0
66,5,1337.63,267.52599999999995,135.2,3,1.6666666666666667,7.3,0,330,82.5,0.1466773322966739,1320,0
45,5,1743.72,348.744,203.4,4,1.25,7.3,0,304,76.0,0.0,1025,0
3,35,14012.87,400.3677142857143,153.85714285714286,12,2.9166666666666665,10.0,1,331,9.735294117647058,0.0707306925704727,69,0
70,4,778.95,194.7375,88.5,4,1.0,5.5,0,337,112.33333333333331,0.0,1967,0
1,7,1634.99,233.57,193.7142857142857,5,1.4,8.2,0,332,55.333333333333336,0.0,1095,0
14,4,251.3,62.825,46.0,3,1.3333333333333333,5.28,0,101,33.666666666666664,0.0,3400,0
70,1,97.05,97.05,31.0,1,1.0,1.9,0,70,70.0,0.0,4107,0
162,1,1950.98,1950.98,762.0,1,1.0,4.82,0,162,162.0,0.0,924,0
59,1,261.35,261.35,80.0,1,1.0,3.03,0,59,59.0,0.0,3362,0
61,4,2338.06,584.515,283.25,4,1.0,7.75,0,198,66.0,0.3748449569301044,741,0
72,1,162.0,162.0,216.0,1,1.0,1.45,0,72,72.0,0.0,3801,0
9,11,3132.09,284.73545454545456,138.1818181818182,8,1.375,10.0,0,253,25.3,0.0740240542257725,505,0
260,3,204.0,68.0,56.333333333333336,2,1.5,2.35,0,304,152.0,0.0,3624,1
150,2,1188.16,594.08,146.0,2,1.0,5.5,0,362,362.0,0.4621263129544842,1477,0
53,3,239.7,79.89999999999999,40.333333333333336,2,1.5,4.38,0,305,152.5,0.0,3449,0
30,1,1248.42,1248.42,370.0,1,1.0,5.72,0,30,30.0,0.0,1417,0
14,6,7575.88,1262.6466666666668,569.1666666666666,5,1.2,9.33,1,313,62.6,0.4913726194184701,144,0
21,2,764.24,382.12,115.0,2,1.0,5.28,0,302,302.0,0.0,2003,0
242,1,2622.481,2622.481,1460.0,1,1.0,5.5,0,242,242.0,0.0,642,0
225,2,184.6,92.3,26.5,1,2.0,1.68,0,231,231.0,0.0,3693,0
37,1,619.5,619.5,349.0,1,1.0,4.15,0,37,37.0,0.0,2266,0
189,4,933.55,233.3875,83.5,2,2.0,4.6,0,214,71.33333333333333,0.0,1756,1
44,6,1441.7,240.28333333333333,199.16666666666663,2,3.0,7.3,0,119,23.8,0.4742942359714225,1229,0
191,3,389.3,129.76666666666668,58.0,3,1.0,3.47,0,368,184.0,0.0,2865,0
11,10,16262.87,1626.287,1133.4,7,1.4285714285714286,10.0,1,337,37.44444444444444,0.0,59,0
3,30,16874.17,562.4723333333333,332.7333333333333,12,2.5,10.0,1,362,12.482758620689657,0.1186535397000267,56,0
1,24,11657.59,485.73291666666665,226.41666666666663,13,1.8461538461538465,10.0,1,374,16.26086956521739,0.0492262980598905,81,0
1,9,4197.51,466.39,299.3333333333333,5,1.8,10.0,1,362,45.25,0.2938313428675571,343,0
7,1,89.14,89.14,107.0,1,1.0,2.8,0,7,7.0,0.0,4136,0
116,2,2138.91,1069.455,701.5,1,2.0,6.62,0,116,116.0,0.0,831,0
56,1,134.6,134.6,51.0,1,1.0,1.9,0,56,56.0,0.0,3932,0
273,1,110.95,110.95,36.0,1,1.0,1.0,0,273,273.0,0.0,4045,0
32,5,809.46,161.892,54.8,3,1.6666666666666667,6.62,0,158,39.5,0.0,1932,0
51,2,969.78,484.89,422.0,1,2.0,5.95,0,57,57.0,0.0,1705,0
164,3,825.02,275.00666666666666,78.0,3,1.0,5.05,0,301,150.5,0.0,1913,0
70,3,801.15,267.05,187.66666666666663,3,1.0,5.5,0,318,159.0,0.0,1939,0
226,1,339.75,339.75,111.0,1,1.0,2.12,0,226,226.0,0.0,3021,0
53,1,638.11,638.11,373.0,1,1.0,4.15,0,53,53.0,0.0,2224,0
165,4,1648.7,412.175,262.25,2,2.0,6.18,0,269,89.66666666666667,0.0,1091,1
269,5,617.48,123.496,75.6,2,2.5,5.28,0,320,80.0,0.90291183520114,2271,1
10,8,4739.76,592.47,391.875,5,1.6,10.0,1,372,53.142857142857146,0.174724036660084,287,0
318,1,0.0,0.0,-1.0,1,1.0,1.0,0,318,318.0,0.0,4330,0
4,15,2501.84,166.78933333333333,79.73333333333333,11,1.3636363636363635,10.0,0,357,25.5,0.270341029002654,682,0
2,30,20769.63,692.321,329.8666666666667,12,2.5,10.0,1,366,12.620689655172416,0.0520630362697842,38,0
247,2,1339.05,669.525,385.0,2,1.0,5.05,0,312,312.0,0.0,1319,0
1,14,2738.03,195.57357142857143,89.78571428571429,10,1.4,10.0,0,366,28.15384615384616,0.0,604,0
24,7,9384.85,1340.6928571428573,815.0,7,1.0,8.88,1,371,61.833333333333336,0.0,111,0
226,1,277.93,277.93,94.0,1,1.0,2.12,0,226,226.0,0.0,3304,0
5,13,2334.6,179.58461538461538,122.0,6,2.1666666666666665,10.0,0,142,11.833333333333334,0.493167994517262,745,0
1,4,1277.7,319.425,169.25,4,1.0,7.52,0,107,35.666666666666664,0.0,1379,0
19,3,1286.11,428.7033333333333,311.3333333333333,3,1.0,7.08,0,171,85.5,0.2430196483971044,1369,0
7,4,2266.76,566.6899999999999,285.5,3,1.3333333333333333,8.65,0,220,73.33333333333333,0.0,771,0
23,4,1405.5,351.375,368.75,4,1.0,7.08,0,260,86.66666666666667,0.0,1257,0
78,3,1698.83,566.2766666666666,244.66666666666663,3,1.0,6.18,0,290,145.0,0.0,1054,0
19,1,233.84,233.84,124.0,1,1.0,3.48,0,19,19.0,1.0,3473,0
157,1,829.25,829.25,234.0,1,1.0,3.7,0,157,157.0,0.0,1909,0
78,5,6879.8,1375.96,640.8,5,1.0,7.98,1,283,70.75,0.1757522020988982,177,0
25,5,1942.87,388.574,149.6,4,1.25,7.75,0,325,81.25,0.0,927,0
10,2,529.25,264.625,88.5,1,2.0,5.72,0,28,28.0,0.0,2483,0
134,2,3710.5,1855.25,1.0,1,2.0,6.62,1,134,134.0,0.0,417,0
8,1,155.35,155.35,148.0,1,1.0,2.8,0,8,8.0,0.0,3831,0
21,2,1713.69,856.845,232.5,1,2.0,6.4,0,30,30.0,0.0,1041,0
165,2,406.07,203.035,107.0,1,2.0,3.25,0,169,169.0,0.0,2814,0
235,2,1185.02,592.51,674.5,2,1.0,5.05,0,261,261.0,0.0,1482,0
95,4,4037.77,1009.4425,438.25,2,2.0,7.3,1,227,75.66666666666667,0.0,367,0
122,3,925.41,308.47,156.0,3,1.0,5.05,0,318,159.0,0.0,1762,0
163,3,230.85,76.95,30.33333333333333,2,1.5,3.92,0,367,183.5,0.0,3488,0
5,22,4949.08,224.95818181818183,65.81818181818181,10,2.2,10.0,1,368,17.523809523809526,0.276281652347507,266,0
1,159,20491.27,128.87591194968553,79.37735849056604,13,12.23076923076923,10.0,1,371,2.348101265822785,0.2223790911934692,39,0
21,8,2460.29,307.53625,106.125,3,2.6666666666666665,9.55,0,157,22.428571428571427,0.4872677611175918,700,0
80,1,268.27,268.27,189.0,1,1.0,2.58,0,80,80.0,0.0,3331,0
1,19,4203.15,221.2184210526316,87.10526315789474,7,2.7142857142857144,10.0,1,373,20.72222222222222,0.0,342,0
95,6,6987.41,1164.5683333333334,659.3333333333334,5,1.2,7.98,1,374,74.8,0.0,174,0
22,5,3489.3,697.8599999999999,460.0,5,1.0,8.88,0,371,92.75,0.0,444,0
91,1,347.8,347.8,198.0,1,1.0,2.58,0,91,91.0,0.0,2989,0
93,2,782.95,391.475,140.5,1,2.0,4.38,0,100,100.0,0.0,1964,0
5,1,320.08,320.08,196.0,1,1.0,3.92,0,5,5.0,1.0,3115,0
108,6,1404.58,234.09666666666664,168.16666666666666,5,1.2,6.85,0,277,55.4,0.0952597929630209,1258,1
2,5,3036.8,607.36,356.2,3,1.6666666666666667,9.33,0,43,10.75,0.0,532,0
11,1,949.82,949.82,598.0,1,1.0,6.18,0,11,11.0,0.0,1728,0
67,2,0.0,0.0,0.0,2,1.0,2.58,0,86,86.0,0.0,4289,0
35,6,1624.5,270.75,171.33333333333334,5,1.2,7.75,0,247,49.4,0.0,1101,0
100,2,262.5,131.25,50.0,2,1.0,3.25,0,121,121.0,0.0,3353,0
200,2,0.0,0.0,0.0,1,2.0,1.68,0,200,200.0,0.0,4277,0
171,1,98.7,98.7,53.0,1,1.0,1.45,0,171,171.0,0.0,4102,0
24,2,300.08,150.04,103.0,2,1.0,4.15,0,45,45.0,0.0,3218,0
303,1,55.5,55.5,46.0,1,1.0,1.0,0,303,303.0,0.0,4208,0
93,1,519.45,519.45,458.0,1,1.0,3.7,0,93,93.0,0.0,2509,0
32,3,953.45,317.81666666666666,303.3333333333333,3,1.0,7.08,0,238,119.0,0.0,1725,0
7,10,2538.06,253.806,147.6,8,1.25,10.0,0,372,41.333333333333336,0.0,665,0
234,1,337.4,337.4,285.0,1,1.0,2.12,0,234,234.0,0.0,3036,0
10,8,2252.72,281.59,114.375,4,2.0,10.0,0,155,22.142857142857142,0.0,775,0
165,1,1230.33,1230.33,582.0,1,1.0,4.82,0,165,165.0,0.0,1437,0
171,3,773.6,257.8666666666667,106.33333333333331,3,1.0,5.05,0,367,183.5,0.0,1983,0
245,1,728.5,728.5,324.0,1,1.0,3.25,0,245,245.0,0.0,2065,0
49,2,395.52,197.76,124.0,1,2.0,3.7,0,49,49.0,0.0,2846,0
99,4,444.9,111.225,48.5,3,1.3333333333333333,3.92,0,164,54.66666666666666,0.1105866486850978,2696,1
148,2,181.5,90.75,16.0,2,1.0,2.12,0,329,329.0,0.0,3704,0
43,2,238.53,119.265,67.0,1,2.0,3.7,0,46,46.0,0.0,3455,0
9,8,585.15,73.14375,43.875,4,2.0,7.75,0,260,37.142857142857146,0.2222848842177219,2353,0
170,2,413.34,206.67,88.0,2,1.0,3.25,0,318,318.0,0.0,2795,0
